case_id,cine_id,gt_path,pred_path,dice
OL-004,OL-004-018,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-004-018/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-004/OL-004-018/micro_seg_net_prostate_mask.png,0.7887
OL-004,OL-004-019,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-004-019/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-004/OL-004-019/micro_seg_net_prostate_mask.png,0.7446
OL-005,OL-005-011,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-005-011/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-005/OL-005-011/micro_seg_net_prostate_mask.png,0.809
OL-005,OL-005-014,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-005-014/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-005/OL-005-014/micro_seg_net_prostate_mask.png,0.7623
OL-005,OL-005-018,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-005-018/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-005/OL-005-018/micro_seg_net_prostate_mask.png,0.8594
OL-005,OL-005-019,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-005-019/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-005/OL-005-019/micro_seg_net_prostate_mask.png,0.8378
OL-005,OL-005-021,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-005-021/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-005/OL-005-021/micro_seg_net_prostate_mask.png,0.7393
OL-006,OL-006-006,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-006-006/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-006/OL-006-006/micro_seg_net_prostate_mask.png,0.5519
OL-006,OL-006-007,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-006-007/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-006/OL-006-007/micro_seg_net_prostate_mask.png,0.6797
OL-009,OL-009-009,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-009-009/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-009/OL-009-009/micro_seg_net_prostate_mask.png,0.123
OL-009,OL-009-010,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-009-010/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-009/OL-009-010/micro_seg_net_prostate_mask.png,0.7428
OL-012,OL-012-010,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-012-010/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-012/OL-012-010/micro_seg_net_prostate_mask.png,0.905
OL-015,OL-015-014,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-015-014/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-015/OL-015-014/micro_seg_net_prostate_mask.png,0.7597
OL-023,OL-023-018,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-023-018/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-023/OL-023-018/micro_seg_net_prostate_mask.png,0.8778
